,,MN,MN,MN,MN,MN,MN,MN,0,G1,G1,G1,G1,G1,G1,G1,,NH,NH,NH,NH,NH,NH,NH,1,G2,G2,G2,G2,G2,G2,G2,,DD,DD,DD,DD,DD,DD,DD,0,G3,G3,G3,G3,G3,G3,G3,,SH,SH,SH,SH,SH,SH,SH,0,G4,G4,G4,G4,G4,G4,G4
2-Feb-13,8:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Feb-13,8:16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Feb-13,8:17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Feb-13,8:17:37,,,,M,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,C,L,,N,S,T,0,,,,,,,
2-Feb-13,8:17:40,,,,M,N,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,C,L,,,S,T,0,,,,,,,
2-Feb-13,8:17:41,,,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,C,L,,,,T,0,,,,,,,
2-Feb-13,8:17:49,,,,M,N,S,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,C,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
2-Feb-13,8:17:52,,,,M,N,,,0,,,,,,,,,,,,,,S,,1,,,,,,,,,,C,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
2-Feb-13,8:17:54,,,,,N,,,0,,,,,,,,,,,,M,,S,,1,,,,,,,,,,C,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
2-Feb-13,8:18:00,,,,,N,,,0,,,,,,,,,,,,M,,S,,1,,,,,,,,,,C,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
2-Feb-13,8:18:04,,,,,N,,,0,,,,,,,,,,,,,,S,,1,,,,M>,,,,,,C,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
2-Feb-13,8:18:11,,,L,,N,,,0,,,,,,,,,,,,,,S,,1,,,,M>,,,,,,C,,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
